4.97993,5.61201,-6.78038,-0.001064,-0.034055,-0.011706
5.13316,5.59765,-6.70377,0.011706,-0.040441,-0.067046
4.89854,5.60722,-6.66545,0.012771,-0.09578,-0.122386
4.31914,5.59285,-6.87136,0.036184,-0.05534,-0.141542
3.71101,5.53061,-7.16345,0.021285,-0.076624,-0.116001
3.65834,5.52103,-7.28795,0.006385,-0.060661,-0.041505
4.05099,5.5737,-7.19697,-0.019156,-0.112808,0.035119
4.60645,5.59765,-7.24486,-0.024477,-0.138349,0.053211
5.0374,5.64553,-7.36935,-0.064918,-0.102166,0.028734
5.05655,5.61201,-7.20654,-0.109615,-0.057468,-0.026606
4.59208,5.55455,-7.04853,-0.145799,-0.005321,-0.078753
4.17549,5.56891,-6.74686,-0.160698,0.057468,-0.074496
4.3766,5.62637,-6.35421,-0.120257,0.044697,-0.02767
4.55377,5.63116,-6.5218,-0.043633,-0.008514,0.002128
4.46279,5.70777,-7.02938,-0.010642,-0.05534,0.018092
4.58729,5.72214,-7.25443,-0.052147,-0.012771,0.037248
4.56813,5.68862,-7.09163,-0.096844,0.045762,0.018092
4.60645,5.65032,-6.8522,-0.108551,0.058532,0.00745
4.70221,5.6168,-6.6511,-0.102166,0.014899,-0.006385
4.67827,5.65032,-6.69897,-0.071303,0.037248,-0.019156
4.73573,5.67905,-6.87615,-0.048954,0.059597,-0.039376
4.39575,5.5737,-7.06768,-0.057468,0.060661,-0.063854
4.34787,5.62637,-7.14909,-0.07556,0.060661,-0.039376
4.43406,5.52582,-7.24964,-0.097909,0.090459,-0.026606
4.1707,5.61201,-7.61356,-0.146863,0.106423,-0.031927
4.10845,5.62637,-7.78594,-0.224551,0.157505,-0.00745
4.47716,5.69341,-7.5178,-0.301176,0.152184,0.039376
5.13316,5.63595,-7.16345,-0.336295,0.152184,0.038312
5.55934,5.71257,-6.77081,-0.360772,0.141542,-0.024477
5.33428,5.63116,-6.57926,-0.363965,0.148992,-0.119193
4.34787,5.61201,-6.5218,-0.351194,0.191561,-0.159634
3.63919,5.64553,-6.56969,-0.324589,0.239451,-0.105358
3.60567,5.66468,-6.58406,-0.307561,0.273506,0.002128
4.06056,5.7796,-6.64151,-0.295855,0.316075,0.097909
4.57293,5.77003,-6.69419,-0.312882,0.299047,0.122386
5.05655,5.80355,-6.46435,-0.32246,0.277763,0.112808
5.32949,5.72214,-6.05733,-0.312882,0.240515,0.059597
5.04219,5.72693,-5.72693,-0.252221,0.214973,-0.004257
4.71179,5.70299,-5.75566,-0.164955,0.135157,-0.02767
4.58729,5.78918,-5.94719,-0.07556,0.09578,-0.011706
4.89854,5.83707,-6.13394,-0.009578,0.014899,0.002128
4.86502,5.72693,-6.46913,0.002128,0.001064,-0.031927
4.63517,5.83228,-6.62715,-0.029798,0.028734,-0.056404
4.53941,5.85143,-6.55054,-0.051083,0.05534,-0.052147
4.56335,5.7796,-6.41168,-0.067046,0.080881,-0.023413
4.8315,5.7796,-6.22013,-0.053211,0.128771,-0.013835
4.86981,5.78439,-6.30154,-0.014899,0.170276,-0.017028
4.79798,5.80833,-6.62236,-0.005321,0.164955,-0.014899
4.58729,5.83707,-6.88093,-0.019156,0.229873,-0.004257
4.5011,5.81791,-7.09642,-0.061725,0.308625,0.035119
4.67348,5.83707,-6.89052,-0.117065,0.345873,0.065982
4.68306,5.85143,-6.67503,-0.14367,0.351194,0.081945
4.91769,5.87058,-6.43561,-0.144735,0.376736,0.10323
5.29119,5.84664,-6.19141,-0.135157,0.334167,0.104294
5.39653,5.80833,-6.12916,-0.112808,0.29479,0.056404
5.09007,5.83228,-6.22971,-0.090459,0.27457,0.008514
4.68784,5.81791,-6.41646,-0.072367,0.260735,0.011706
4.41012,5.77003,-6.63673,-0.079817,0.301176,0.050019
4.70221,5.8658,-6.55532,-0.117065,0.343745,0.113872
5.32949,5.9041,-6.43561,-0.141542,0.429947,0.139413
5.78439,5.8658,-6.01423,-0.173469,0.514021,0.109615
5.80833,5.8227,-5.59285,-0.153248,0.527856,0.043633
5.81791,5.88016,-5.3678,-0.080881,0.449103,0
5.25288,5.7796,-5.68862,0.014899,0.349066,-0.061725
4.68784,5.80355,-6.26323,0.059597,0.345873,-0.074496
4.63517,5.92326,-6.59842,0.028734,0.310754,-0.014899
5.07092,5.91367,-6.75644,-0.048954,0.326717,0.045762
5.65032,5.96156,-6.6511,-0.137285,0.317139,0.04789
5.89931,5.79876,-6.53139,-0.174533,0.252221,-0.00745
5.25767,5.90889,-6.43561,-0.227744,0.252221,-0.092588
4.7932,5.83707,-6.13874,-0.252221,0.368222,-0.041505
4.80277,5.87537,-5.77481,-0.256478,0.551269,0.023413
5.21936,5.85622,-5.61201,-0.224551,0.666205,0.088331
5.50187,5.83707,-5.59285,-0.193689,0.705581,0.102166
5.55934,5.92326,-5.81312,-0.154313,0.730058,0.096844
5.42526,5.94241,-6.12437,-0.137285,0.72048,0.077688
5.31513,5.95677,-6.42125,-0.174533,0.601287,0.067046
5.40132,6.01423,-6.42603,-0.243708,0.499122,0.072367
5.77481,5.98551,-6.25365,-0.319268,0.415048,0.084074
6.01903,5.84664,-5.88016,-0.380993,0.359708,0.040441
5.67426,5.87537,-5.47314,-0.384185,0.318203,-0.025541
5.25288,5.80355,-5.1619,-0.354387,0.300111,-0.025541
5.14274,5.79397,-4.88896,-0.326717,0.303304,0.014899
5.19542,5.79876,-4.6256,-0.291598,0.385249,0.061725
5.34386,5.77003,-4.64475,-0.225616,0.457617,0.106423
5.45399,5.81791,-4.74531,-0.17134,0.50125,0.138349
5.76524,5.89931,-4.80277,-0.124514,0.488479,0.170276
6.01423,5.94719,-4.94643,-0.057468,0.454424,0.186239
6.3159,5.93283,-5.40132,-0.026606,0.388442,0.156441
6.17226,5.92326,-5.68384,-0.048954,0.325653,0.087266
6.01423,5.89931,-5.65032,-0.122386,0.244772,0.037248
5.81791,5.88974,-5.37738,-0.166019,0.187304,0.004257
