-5.385e-05,4.665e-05,-2.55e-05
-5.325e-05,4.74e-05,-2.655e-05
-5.355e-05,4.62e-05,-2.625e-05
-5.145e-05,4.74e-05,-2.52e-05
-5.28e-05,4.74e-05,-2.685e-05
-5.295e-05,4.71e-05,-2.7e-05
-5.175e-05,4.8e-05,-2.655e-05
-5.205e-05,4.695e-05,-2.655e-05
-5.16e-05,4.785e-05,-2.535e-05
-5.205e-05,4.8e-05,-2.625e-05
-5.175e-05,4.695e-05,-2.655e-05
-5.19e-05,4.71e-05,-2.535e-05
-5.19e-05,4.575e-05,-2.595e-05
-5.19e-05,4.86e-05,-2.64e-05
-5.205e-05,4.875e-05,-2.655e-05
-5.415e-05,4.86e-05,-2.7e-05
-5.325e-05,4.77e-05,-2.685e-05
-5.37e-05,4.65e-05,-2.505e-05
-5.19e-05,4.815e-05,-2.565e-05
-5.205e-05,4.8e-05,-2.625e-05
-5.19e-05,4.605e-05,-2.535e-05
-5.25e-05,4.77e-05,-2.58e-05
-5.1e-05,4.74e-05,-2.445e-05
-5.1e-05,4.62e-05,-2.475e-05
-5.265e-05,4.755e-05,-2.7e-05
-5.205e-05,4.77e-05,-2.475e-05
-5.25e-05,4.695e-05,-2.655e-05
-5.19e-05,4.65e-05,-2.7e-05
-5.34e-05,4.65e-05,-2.565e-05
-5.34e-05,4.785e-05,-2.565e-05
-5.28e-05,4.665e-05,-2.655e-05
-5.265e-05,4.755e-05,-2.64e-05
-5.16e-05,4.65e-05,-2.595e-05
-5.295e-05,4.71e-05,-2.745e-05
-5.265e-05,4.65e-05,-2.535e-05
-5.19e-05,4.605e-05,-2.67e-05
-5.25e-05,4.56e-05,-2.58e-05
-5.205e-05,4.59e-05,-2.655e-05
-5.385e-05,4.845e-05,-2.655e-05
-5.25e-05,4.56e-05,-2.655e-05
-5.265e-05,4.65e-05,-2.7e-05
-5.235e-05,4.71e-05,-2.67e-05
